"Route","Family","Baseline structural regions","Baseline visible chapter estimate","Primary issue","Severity","Root cause","Dominant moment","Continuity device","Major transitions","Target chapters","Implementation scope","Final visible chapters","Baseline flow score","Final flow score","Baseline transition score","Final transition score","Baseline pacing score","Final pacing score","Baseline card-restraint score","Final card-restraint score","Baseline ending score","Final ending score","Changes implemented","Remaining constraint","Final severity"
"/","Homepage","18","9","Strong opening, then later sections resume independent module rhythm","P1","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","Melt-pool hero and opening method","shared warm atmosphere and one method axis","Atmospheric Fade; Surface Overlap","Position -> Method and interaction -> Proof -> Knowledge routes -> Boundary and next action","Homepage chapter wrappers plus shared ending","5","5","7.5","4.6","7.3","4.8","7.3","5.3","6.8","4.5","7.4","Grouped the hero, method/Cockpit, proof, knowledge routes, boundary, and ending into five continuous chapters.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/404","404","4","3","Recovery and site ending are visually disconnected","P3","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","recovery action","single recovery axis","Footer Dissolve","Recovery orientation -> Stable next paths","Shared recovery/ending styles","2","6","6.8","5.6","6.7","5.8","6.8","6","7","5","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/about/","Informational / reference","36","15","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","The real source content remains unusually long or dense; reducing it further would require content or product-scope decisions outside this visual-only pass.","P2"
"/agent-pack/","Informational / reference","10","9","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/brief-standard/","Informational / reference","17","9","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","The real source content remains unusually long or dense; reducing it further would require content or product-scope decisions outside this visual-only pass.","P2"
"/brief-template/","Interactive tool","15","8","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","real decision workbench","tool dock and graphite work surface","Surface Overlap; Footer Dissolve","Orientation -> Decision workbench -> Output and evidence -> Next paths","Shared informational family styles","4","5.6","7.2","5","7","5.2","7","5.5","6.6","4.8","7.1","Kept the real workbench dominant and unified its surrounding narrative and ending through the shared family scope.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/claims/","Evidence / reference","24","5","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/contact/","Informational / reference","6","5","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/de/","Informational / reference","6","4","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/decision-map/","Interactive tool","16","6","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","real decision workbench","tool dock and graphite work surface","Surface Overlap; Footer Dissolve","Orientation -> Decision workbench -> Output and evidence -> Next paths","Shared informational family styles","4","5.6","7.2","5","7","5.2","7","5.5","6.6","4.8","7.1","Kept the real workbench dominant and unified its surrounding narrative and ending through the shared family scope.","The real source content remains unusually long or dense; reducing it further would require content or product-scope decisions outside this visual-only pass.","P2"
"/demo/","Interactive tool","19","7","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","real decision workbench","tool dock and graphite work surface","Surface Overlap; Footer Dissolve","Orientation -> Decision workbench -> Output and evidence -> Next paths","Shared informational family styles","4","5.6","7.2","5","7","5.2","7","5.5","6.6","4.8","7.1","Kept the real workbench dominant and unified its surrounding narrative and ending through the shared family scope.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/domains/lmd-ded/","Informational / reference","19","13","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/evidence/","Evidence / reference","47","12","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/for-ai-agents/","Informational / reference","13","7","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/frameworks/","Frameworks index","17","6","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/frameworks/lmd-ai-maturity-model/","Framework detail","27","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
