ID,Route,Section,Component/root,Purpose,Current visual container,Current background,Transition in,Transition out,Relationship to previous,Relationship to next
S0001,/,home-premium-hero,home-premium-hero,Develop the page's primary narrative or task,section depth 0; 828px,"rgb(14, 13, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0002,/,home-opening-flow,home-opening-flow,Develop the page's primary narrative or task,section depth 0; 1914px,"rgb(10, 11, 11)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0003,/,home-opening-flow__process,home-opening-flow__process,Develop the page's primary narrative or task,section depth 2; 559px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0004,/,LMD Decision Cockpit preview,home-opening-flow__cockpit,Support an interactive decision task,section depth 2; 1024px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0005,/,Confidence is not approval / Missing information / Risk flags / Evidence needed,ordered-card tool-output-rail h-fit p-5,"Present inspectable evidence, source context, or limitations",aside depth 6; 788px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0006,/,Public context and decision routes,process-proof-system,"Present inspectable evidence, source context, or limitations",section depth 0; 1243px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0007,/,Decision-support boundary,process-proof-system__boundary-notice,"Present inspectable evidence, source context, or limitations",aside depth 3; 112px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0008,/,Start with a decision path,home-section home-section--start,Develop the page's primary narrative or task,section depth 1; 963px,"rgb(10, 11, 11)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0009,/,Flagship decision assets,home-section home-section--assets,Develop the page's primary narrative or task,section depth 1; 873px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0010,/,Documented public examples,home-section home-section--proof,"Present inspectable evidence, source context, or limitations",section depth 1; 1253px,"rgb(10, 11, 11)",surface reset,surface reset,Follows an unlabeled structural region,Prepares Duisburg Bridge Components
S0011,/,Duisburg Bridge Components,home-proof-card,"Present inspectable evidence, source context, or limitations",article depth 4; 749px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Forging Hammer Repair
S0012,/,Forging Hammer Repair,home-proof-card,"Present inspectable evidence, source context, or limitations",article depth 4; 749px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Duisburg Bridge Components,Prepares an unlabeled structural region
S0013,/,Latest field notes,home-section home-section--notes,Develop the page's primary narrative or task,section depth 1; 753px,"rgb(23, 24, 23)",surface reset,surface reset,Follows Forging Hammer Repair,Prepares an unlabeled structural region
S0014,/,Public and commercial routes,home-section home-section--routes,Develop the page's primary narrative or task,section depth 1; 632px,"rgb(10, 11, 11)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0015,/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Shared page ending / footer
S0016,/404,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 0; 661px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares Try the route without the final segment.
S0017,/404,Try the route without the final segment.,ordered-card-strong p-6 md:p-7,Provide supporting context without interrupting the primary flow,aside depth 2; 469px,"rgba(15, 23, 34, 0.88)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0018,/404,band section-y,band section-y,Develop the page's primary narrative or task,section depth 0; 514px,"rgba(0, 0, 0, 0.24)",surface reset,surface reset,Follows Try the route without the final segment.,Prepares an unlabeled structural region
S0019,/404,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Shared page ending / footer
S0020,/about/,site-shell info-page__masthead grid min-h-[calc(100svh-4.5rem)],site-shell info-page__masthead grid min-h-[calc(100svh-4.5rem)],Orient the visitor and establish the page promise,section depth 1; 1040px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows Global header / page start,Prepares an unlabeled structural region
