ID,Route,Section,Component/root,Purpose,Layout,Scene type,Visual weight,Transition in,Transition out
S0001,/,home-premium-hero,home-premium-hero,Develop the page's primary narrative or task,section depth 0; 828px,Brand,substantial,same canvas / spacing gap,surface reset
S0002,/,home-opening-flow,home-opening-flow,Develop the page's primary narrative or task,section depth 0; 1914px,Narrative,dominant,surface reset,surface reset
S0003,/,home-opening-flow__process,home-opening-flow__process,Develop the page's primary narrative or task,section depth 2; 559px,Narrative,substantial,surface reset,same canvas / spacing gap
S0004,/,LMD Decision Cockpit preview,home-opening-flow__cockpit,Support an interactive decision task,section depth 2; 1024px,Instrument,dominant,same canvas / spacing gap,surface reset
S0005,/,Confidence is not approval / Missing information / Risk flags / Evidence needed,ordered-card tool-output-rail h-fit p-5,"Present inspectable evidence, source context, or limitations",aside depth 6; 788px,Instrument,substantial,surface reset,surface reset
S0006,/,Public context and decision routes,process-proof-system,"Present inspectable evidence, source context, or limitations",section depth 0; 1243px,Reference,dominant,surface reset,surface reset
S0007,/,Decision-support boundary,process-proof-system__boundary-notice,"Present inspectable evidence, source context, or limitations",aside depth 3; 112px,Reference,supporting,surface reset,surface reset
S0008,/,Start with a decision path,home-section home-section--start,Develop the page's primary narrative or task,section depth 1; 963px,Narrative,dominant,surface reset,surface reset
S0009,/,Flagship decision assets,home-section home-section--assets,Develop the page's primary narrative or task,section depth 1; 873px,Narrative,substantial,surface reset,surface reset
S0010,/,Documented public examples,home-section home-section--proof,"Present inspectable evidence, source context, or limitations",section depth 1; 1253px,Reference,dominant,surface reset,surface reset
S0011,/,Duisburg Bridge Components,home-proof-card,"Present inspectable evidence, source context, or limitations",article depth 4; 749px,Reference,substantial,surface reset,same canvas / spacing gap
S0012,/,Forging Hammer Repair,home-proof-card,"Present inspectable evidence, source context, or limitations",article depth 4; 749px,Reference,substantial,same canvas / spacing gap,surface reset
S0013,/,Latest field notes,home-section home-section--notes,Develop the page's primary narrative or task,section depth 1; 753px,Narrative,substantial,surface reset,surface reset
S0014,/,Public and commercial routes,home-section home-section--routes,Develop the page's primary narrative or task,section depth 1; 632px,Narrative,substantial,surface reset,surface reset
S0015,/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,Instrument,supporting,surface reset,same canvas / spacing gap
