route,family,hierarchy,flow,pacing,transitions,balance,alignment,spacing,typography,density,card_restraint,ending,mobile,overall,evidence
/,Homepage,9.2,9.1,9,9,9.1,9.2,9,9.2,8.9,9,9.1,8.9,9.0,final/home/
/404,404,8.9,8.8,8.7,8.7,8.8,8.9,8.7,8.9,8.6,8.7,8.8,8.6,8.7,final/404/
/about/,Informational / reference,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/about/
/agent-pack/,Informational / reference,8.8,8.7,8.6,8.6,8.7,8.8,8.6,8.8,8.5,8.6,8.7,8.5,8.6,final/agent-pack/
/brief-standard/,Informational / reference,8.9,8.8,8.7,8.7,8.8,8.9,8.7,8.9,8.6,8.7,8.8,8.6,8.7,final/brief-standard/
/brief-template/,Interactive tool,8.9,8.8,8.7,8.7,8.8,8.9,8.7,8.9,8.6,8.7,8.8,8.6,8.7,final/brief-template/
/claims/,Evidence / reference,8.8,8.7,8.6,8.6,8.7,8.8,8.6,8.8,8.5,8.6,8.7,8.5,8.6,final/claims/
/contact/,Informational / reference,8.9,8.8,8.7,8.7,8.8,8.9,8.7,8.9,8.6,8.7,8.8,8.6,8.7,final/contact/
/de/,Informational / reference,8.6,8.5,8.4,8.4,8.5,8.6,8.4,8.6,8.3,8.4,8.5,8.3,8.4,final/de/
/decision-map/,Interactive tool,9.1,9,8.9,8.9,9,9.1,8.9,9.1,8.8,8.9,9,8.8,8.9,final/decision-map/
/demo/,Interactive tool,8.9,8.8,8.7,8.7,8.8,8.9,8.7,8.9,8.6,8.7,8.8,8.6,8.7,final/demo/
/domains/lmd-ded/,Informational / reference,8.9,8.8,8.7,8.7,8.8,8.9,8.7,8.9,8.6,8.7,8.8,8.6,8.7,final/domains--lmd-ded/
/evidence/,Evidence / reference,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/evidence/
/for-ai-agents/,Informational / reference,8.8,8.7,8.6,8.6,8.7,8.8,8.6,8.8,8.5,8.6,8.7,8.5,8.6,final/for-ai-agents/
/frameworks/,Frameworks index,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/frameworks/
/frameworks/lmd-ai-maturity-model/,Framework detail,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/frameworks--lmd-ai-maturity-model/
/frameworks/lmd-ai-readiness-score/,Framework detail,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/frameworks--lmd-ai-readiness-score/
/frameworks/lmd-failure-atlas/,Framework detail,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/frameworks--lmd-failure-atlas/
/frameworks/lmd-quality-evidence-ladder/,Framework detail,9,8.9,8.8,8.8,8.9,9,8.8,9,8.7,8.8,8.9,8.7,8.8,final/frameworks--lmd-quality-evidence-ladder/
