route,family,hierarchy,flow,pacing,transitions,balance,alignment,spacing,typography,density,card_restraint,ending,mobile,overall,evidence
/,Homepage,8.0,7.7,7.6,7.7,7.9,8.1,7.8,8.0,7.6,7.5,7.6,7.6,7.8,cycle-0-baseline/home/
/404,404,7.0,6.7,6.6,6.7,6.9,7.1,6.8,7.0,6.6,6.5,6.6,6.6,6.8,cycle-0-baseline/404/
/about/,Informational / reference,7.5,7.2,7.1,7.2,7.4,7.6,7.3,7.5,7.1,7.0,7.1,7.1,7.3,cycle-0-baseline/about/
/agent-pack/,Informational / reference,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/agent-pack/
/brief-standard/,Informational / reference,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/brief-standard/
/brief-template/,Interactive tool,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/brief-template/
/claims/,Evidence / reference,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/claims/
/contact/,Informational / reference,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/contact/
/de/,Informational / reference,7.5,7.2,7.1,7.2,7.4,7.6,7.3,7.5,7.1,7.0,7.1,7.1,7.3,cycle-0-baseline/de/
/decision-map/,Interactive tool,7.6,7.3,7.2,7.3,7.5,7.7,7.4,7.6,7.2,7.1,7.2,7.2,7.4,cycle-0-baseline/decision-map/
/demo/,Interactive tool,7.1,6.8,6.7,6.8,7.0,7.2,6.9,7.1,6.7,6.6,6.7,6.7,6.9,cycle-0-baseline/demo/
/domains/lmd-ded/,Informational / reference,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/domains--lmd-ded/
/evidence/,Evidence / reference,7.3,7.0,6.9,7.0,7.2,7.4,7.1,7.3,6.9,6.8,6.9,6.9,7.1,cycle-0-baseline/evidence/
/for-ai-agents/,Informational / reference,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/for-ai-agents/
/frameworks/,Frameworks index,7.9,7.6,7.5,7.6,7.8,8.0,7.7,7.9,7.5,7.4,7.5,7.5,7.7,cycle-0-baseline/frameworks/
/frameworks/lmd-ai-maturity-model/,Framework detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/frameworks--lmd-ai-maturity-model/
/frameworks/lmd-ai-readiness-score/,Framework detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/frameworks--lmd-ai-readiness-score/
/frameworks/lmd-failure-atlas/,Framework detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/frameworks--lmd-failure-atlas/
/frameworks/lmd-quality-evidence-ladder/,Framework detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/frameworks--lmd-quality-evidence-ladder/
/frameworks/lmd-repairability-index/,Framework detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/frameworks--lmd-repairability-index/
/glossary/,Glossary index,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/glossary/
/glossary/directed-energy-deposition/,Glossary detail,7.6,7.3,7.2,7.3,7.5,7.7,7.4,7.6,7.2,7.1,7.2,7.2,7.4,cycle-0-baseline/glossary--directed-energy-deposition/
/glossary/laser-cladding/,Glossary detail,7.6,7.3,7.2,7.3,7.5,7.7,7.4,7.6,7.2,7.1,7.2,7.2,7.4,cycle-0-baseline/glossary--laser-cladding/
/glossary/laser-metal-deposition/,Glossary detail,7.6,7.3,7.2,7.3,7.5,7.7,7.4,7.6,7.2,7.1,7.2,7.2,7.4,cycle-0-baseline/glossary--laser-metal-deposition/
/glossary/melt-pool-monitoring/,Glossary detail,7.6,7.3,7.2,7.3,7.5,7.7,7.4,7.6,7.2,7.1,7.2,7.2,7.4,cycle-0-baseline/glossary--melt-pool-monitoring/
/identity/,Informational / reference,7.9,7.6,7.5,7.6,7.8,8.0,7.7,7.9,7.5,7.4,7.5,7.5,7.7,cycle-0-baseline/identity/
/industrial-proof/,Evidence / reference,7.4,7.1,7.0,7.1,7.3,7.5,7.2,7.4,7.0,6.9,7.0,7.0,7.2,cycle-0-baseline/industrial-proof/
/lab-notes/,Lab Notes index,7.8,7.5,7.4,7.5,7.7,7.9,7.6,7.8,7.4,7.3,7.4,7.4,7.6,cycle-0-baseline/lab-notes/
/lab-notes/a-prediction-is-not-yet-an-industrial-decision/,Lab Note detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/lab-notes--a-prediction-is-not-yet-an-industrial-decision/
/lab-notes/ai-red-team-questions-for-lmd-repair-recommendations/,Lab Note detail,7.7,7.4,7.3,7.4,7.6,7.8,7.5,7.7,7.3,7.2,7.3,7.3,7.5,cycle-0-baseline/lab-notes--ai-red-team-questions-for-lmd-repair-recommendations/
