ID,Route,Section,Component/root,Current layout,Left mass,Right mass,Baseline balance,Baseline alignment,Baseline whitespace,Issue,Final composition,Final balance,Final alignment,Final whitespace,Shared primitive,Remaining limitation
1,/,"Header; cinematic masthead; process; Cockpit; proof/content groups; closing; footer",home-premium-hero and homepage roots,"Narrative hero plus mixed scenes",7,7,7,7,7,"Mixed card action baselines in comparable groups","Preserved premium scene flow; align peers only",8,8,8,"aligned-card-grid/equal-card-grid","Intentional Cockpit asymmetry"
2,/404,"Header; recovery content; footer",recovery-page,"Centered recovery scene",8,8,8,8,8,"None","No change",8,8,8,"None","None"
3,/about/,"Header; masthead; identity/proof groups; timeline; closing; footer",info-page,"Sparse headings beside dense content groups",4,8,5,6,5,"Title-only split columns","Full-width narrative introductions",8,8,8,"balanced-section-intro","Long timeline rows remain naturally sized"
4,/agent-pack/,"Header; masthead; pack groups; boundary; closing; footer",info-page,"Narrative/technical mixed grid",6,8,6,7,6,"Dense groups beside short introductions","Balanced introduction above peer grids",8,8,8,"balanced-section-intro/aligned-card-grid","Workbench-like rows remain asymmetric"
5,/brief-standard/,"Header; masthead; standard sections; examples; closing; footer",info-page,"Narrative plus reference groups",6,8,6,7,6,"Reference maps outweighed headings","Full-width introductions for dense maps",8,8,8,"balanced-section-intro","Long schema labels"
6,/brief-template/,"Header; masthead; template workbench; help; closing; footer",info-page,"Narrative masthead and functional form",7,7,7,7,7,"Functionally asymmetric controls","Preserved functional split",8,8,8,"aligned-card-grid","Form/output asymmetry is intentional"
7,/claims/,"Header; masthead; claim groups; boundary; closing; footer",info-page,"Short intros beside claim rows",5,8,5,6,6,"Hollow heading column","Full-width intro and aligned rows",8,8,8,"balanced-section-intro/aligned-card-grid","Long source labels"
8,/contact/,"Header; masthead; contact paths; closing; footer",info-page,"Paired actions",7,7,7,7,7,"Minor action-baseline variance","Retained paired grid with aligned actions",8,8,8,"aligned-card-grid","None"
9,/de/,"Header; masthead; German handoff; boundaries; footer",info-page,"Editorial narrative",7,7,7,7,7,"Minor source row density","Preserved narrative column",8,8,8,"balanced-section-intro","Long German copy is naturally taller"
10,/decision-map/,"Header; narrative masthead; tool workbench; result; footer",tools-workbench,"Functional 5/7 tool composition",7,8,7,8,7,"No accidental imbalance","Retained functional control/output balance",8,8,8,"None","Output panel intentionally has more mass"
