route,family,baseline_hierarchy,baseline_balance,baseline_alignment,baseline_spacing,baseline_transition,baseline_type,baseline_density,baseline_responsive,baseline_functional,baseline_premium,final_hierarchy,final_balance,final_alignment,final_spacing,final_transition,final_type,final_density,final_responsive,final_functional,final_premium,change,remaining_limit
/,Homepage,7,7,7,7,7,7,6,7,8,7,7,7,7,7,7,7,6,7,8,7,0.0,Later-page density intentionally remains
/404,Recovery,6,6,7,6,6,7,7,7,8,6,6,6,7,6,6,7,7,7,8,6,0.0,Simple recovery route intentionally restrained
/about/,Informational,6,6,6,6,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,+1.0,Legacy multi-module length remains
/agent-pack/,Reference information,6,6,6,6,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,+1.0,Reference content remains dense
/brief-standard/,Reference information,6,6,6,6,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,+1.0,Artifact sections retain necessary structure
/brief-template/,Interactive reference,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,0.0,Tool-adjacent reference intentionally structured
/claims/,Policy,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,0.0,Policy density intentional
/contact/,Conversion,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,0.0,Conversion hierarchy intentionally explicit
/de/,Informational,6,6,6,6,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,+1.0,Localized content mirrors source depth
/decision-map/,Interactive tool,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,0.0,Long mobile control/output flow is functional by design
/demo/,Interactive reference,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,0.0,Worked output intentionally dense
/domains/lmd-ded/,Informational domain,6,6,6,6,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,+1.0,Several genuine proof modules remain
/evidence/,Evidence reference,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,0.0,Evidence rails intentionally separate
